logradouro,cep,cidade,estado,complemento,email
15726 Hanover Way,25218-784,Detroit,Michigan,Apto 534,subsdell0@yellowpages.com
32831 Hallows Pass,40126-058,Scranton,Pennsylvania,Apto 464,abeche1@yelp.com
3 Dakota Drive,05284-544,Grand Junction,Colorado,Apto 397,ceplett2@xinhuanet.com
35 Sauthoff Street,92824-626,Newark,New Jersey,Apto 767,tkleine3@wired.com
1 Banding Road,06404-750,Birmingham,Alabama,Apto 523,cbann4@opera.com
6631 Northwestern Court,49582-298,New York City,New York,Apto 717,jmckim5@vinaora.com
62781 Jana Circle,93108-093,Waterbury,Connecticut,Apto 672,sreinbech6@4shared.com
83425 Roth Drive,83550-204,Inglewood,California,Apto 235,fwhisker7@scribd.com
56 Dennis Avenue,46632-537,Austin,Texas,Apto 339,lgrinstead8@webeden.co.uk
2 Twin Pines Hill,56045-310,Mount Vernon,New York,Apto 298,rcostelloe9@netlog.com
14163 Anhalt Plaza,06297-632,Minneapolis,Minnesota,Apto 628,wsimmona@themeforest.net
599 Shopko Plaza,62081-326,Hampton,Virginia,Apto 870,spenellib@time.com
5920 Hudson Place,41305-712,Colorado Springs,Colorado,Apto 049,pbatyc@about.com
328 Gateway Court,15815-882,Tucson,Arizona,Apto 914,acresserd@craigslist.org
266 4th Junction,65767-679,Las Vegas,Nevada,Apto 851,fcharlicke@weibo.com
3727 Ruskin Place,52738-660,Milwaukee,Wisconsin,Apto 776,egoldupf@omniture.com
17702 Main Crossing,96205-046,Huntington,West Virginia,Apto 647,aguilfoyleg@npr.org
9 Morrow Road,03677-207,Grand Junction,Colorado,Apto 966,msaulterh@blogger.com
0 Elka Terrace,04279-336,Albuquerque,New Mexico,Apto 433,kjewisi@zimbio.com
356 Schlimgen Junction,40587-614,Modesto,California,Apto 975,srobbj@unc.edu
9 New Castle Center,26686-562,Minneapolis,Minnesota,Apto 243,mhardypiggink@weebly.com
19 Cottonwood Street,22754-191,Topeka,Kansas,Apto 920,sorwinl@cbc.ca
03020 Ridgeview Parkway,58686-494,Irvine,California,Apto 245,ggillingwaterm@netlog.com
10 Ruskin Court,48280-104,Huntington Beach,California,Apto 777,gsaturleyn@alibaba.com
4 Cardinal Street,85685-174,Corona,California,Apto 069,sblocko@ftc.gov
3732 Shoshone Circle,84753-561,Inglewood,California,Apto 186,hbretherickp@kickstarter.com
09649 Lawn Road,33975-130,Roanoke,Virginia,Apto 067,pphipardshearsq@nationalgeographic.com
43 Farragut Drive,88190-898,Springfield,Illinois,Apto 837,tvowdonr@hubpages.com
423 Sutteridge Road,37846-083,Pensacola,Florida,Apto 558,kmosedalls@toplist.cz
2595 Raven Junction,87620-192,Richmond,Virginia,Apto 605,scherrymant@fotki.com
11 Susan Terrace,45356-184,Kent,Washington,Apto 208,tbeardshallu@dedecms.com
51075 6th Drive,98796-349,Cedar Rapids,Iowa,Apto 093,wfishburnv@hatena.ne.jp
6 Knutson Hill,99311-506,Charlotte,North Carolina,Apto 235,mvivienw@webmd.com
6 Meadow Vale Way,24696-173,Pensacola,Florida,Apto 472,pheadechx@google.nl
209 Di Loreto Junction,11236-750,Sacramento,California,Apto 466,gmackaigy@merriam-webster.com
25 Colorado Way,08709-511,Chicago,Illinois,Apto 510,dyetmanz@vistaprint.com
23195 Cardinal Parkway,95419-452,Philadelphia,Pennsylvania,Apto 147,aishchenko10@eventbrite.com
59874 Larry Center,61699-659,Roanoke,Virginia,Apto 579,ryackiminie11@nsw.gov.au
63 Manufacturers Way,21009-577,Washington,District of Columbia,Apto 996,ibelleny12@ehow.com
42 Fordem Court,69486-341,Fort Pierce,Florida,Apto 900,rind13@sogou.com
09 Cody Drive,37646-539,Nashville,Tennessee,Apto 426,mtumbelty14@google.ca
7 Macpherson Crossing,49513-655,Irvine,California,Apto 905,ncocklin15@chronoengine.com
84 Lindbergh Point,63710-287,Wichita Falls,Texas,Apto 938,bgiacomozzo16@blinklist.com
795 Ramsey Plaza,24652-664,Fresno,California,Apto 462,smcmechan17@cdbaby.com
25926 Upham Avenue,17051-926,Washington,District of Columbia,Apto 740,aharvard18@reddit.com
34873 Manley Road,18447-687,Des Moines,Iowa,Apto 574,tjacobsohn19@360.cn
894 Debs Street,19628-430,San Diego,California,Apto 437,aadamovich1a@mtv.com
